,Product,Price,Score,Reviews
48,MSI MEG Trident X 10SD-867MYS - Intel Core i7 (10th gen) - 16 GB - 1000 GB SSD - NVIDIA GeForce RTX 2070 Super - Gaming PC,1999.0,5.0,1
49,AMD Quad Core Basics | Game Computer PC| 16 GB,349.0,3.7,6
50,ScreenON - Intel - Steel - GamePC.V30920,624.0,3.5,13
51,"Complete Game PC Met 22"" Monitor, Toetsenbord en Muis - Ryzen 3200G - 8GB RAM - 480GB SSD - VEGA 8 - ROOD",579.0,2.0,5
52,"Ultra High End Gaming PC - Full RGB build - Ryzen 7 3700X 4,4Ghz, RTX 2070 Super, 16GB DDR4, Waterkoeling, 500GB  NVME SSD, 2TB HD",1749.0,5.0,1
53,COMPUGEAR Gamer GC8700-16SH-R2060 - Core i7 8700 - RTX 2060 - Game PC,1159.0,4.7,3
54,ScreenON - AMD Ryzen 5 2600 Allround Game Computer V.2 / Gaming PC - GeForce GTX 1050 Ti 4GB - 16GB RAM - 240GB SSD - 1TB HDD - Windows 10P,694.95,4.6,9
55,COMPUGEAR Advantage X34 - Core i5 - 480GB SSD - GTX 1650 4GB - Game PC,599.0,4.7,6
56,Intel NUC Compleet PC | Pentium J5005 - Quad Core | 8 GB DDR4 | 240 GB SSD | 2x HDMI | Windows 10 Pro,319.0,5.0,3
57,COMPUGEAR Premium PC8400-16SH - Core i5 - 16GB RAM - 240GB SSD - 1TB HDD - Desktop PC,559.0,5.0,3
58,HP Elite 8200 Desktop (Refurbished) - Intel Core i5 - 4GB - Windows 10,149.0,3.3,8
59,DELL OptiPlex 3070 Intel® 9ste generatie Core™ i5 i5-9500T 8 GB DDR4-SDRAM 256 GB SSD Zwart MFF Mini PC,550.95,5.0,1
60,COMPUGEAR Advantage X12 - 8GB RAM - 240GB SSD - Desktop PC‎,269.0,4.6,10
61,R5 2600 Allround RGB Game PC met Upgrademogelijkheid - GTX 1050 ti - 16GB RAM - 480GB SSD - GAMDIAS,575.0,4.3,21
62,AMD Ryzen 7 2700X High-End Game PC / Streaming Computer - RTX 2060 6GB - 16GB RAM - 960GB SSD - GAMDIAS,995.0,4.3,21
63,MSI Infinite S 9SI-080EU,1149.0,5.0,1
64,AMD Ryzen 7 2700X High-End Game PC / Streaming Computer - RTX 2070 SUPER - 16GB RAM - 480GB SSD - 2TB HDD - FULL RGB,1279.0,5.0,3
65,AKOYA P62012 Performance PC | Intel Core i7-8700 | Windows 10 Home | 256 GB SSD | 8 GB RAM | DVD/CD-brander,799.0,4.0,2
66,ScreenON - Ryzen 7 - RTX-2060 - GamePC.Y52184 - WiFi,999.0,3.3,3
67,Revengecom | Ultra Power Game PC - Ryzen 5 2600X - 16GB DDR4 - GT1660 6GB - 500GB NVME M.2 SSD,664.95,5.0,4
68,Acer Aspire XC-886 - PC - Desktop - i3,469.0,3.0,1
69,"4K ""DaVinci"" Videobewerking Computer - Ryzen 7 2700X - RTX 2070 SUPER - 32GB RAM - 512GB SSD(NVMe)+1TB SSD+6TB HDD - WIFI/BLUETOOTH",1499.0,5.0,1
70,"Mini PC Windows 10 Pro, Mini pc desktops, met Intel Celeron  J3455, 8GB RAM, 128GB M2 SSD",259.0,5.0,2
71,"Intel NUC BOXNUC8I5BEH2 PC/workstation barebone i5-8259U 2,3 GHz UCFF Zwart BGA 1528",255.95,5.0,1
72,AMD Quad Core Basics | Game Computer PC| 16 GB | 500Gb | SSD,389.0,3.7,6
73,Vibox Gaming Desktop 1-8 - Game PC,699.95,4.2,20
74,"iMac 21,5"" refurbished - 2,5Ghz intel i5 processor - 8GB ram - 500GB HDD - mid 2011",499.0,5.0,1
75,MEDION ERAZER MD34646 Bandit P10 Budget Gaming PC | Intel Core i5 9400F | GeForce GTX 1660 | 512 GB SSD,879.0,5.0,1
76,"MSI Pro 20EX 7M-033XEU 49,5 cm (19.5'') 1600 x 900 Pixels Intel® Celeron® G 4 GB DDR4-SDRAM 1000 GB HDD Wi-Fi 5 (802.11ac) Wit Alles-in-één-pc",379.51,1.0,1
77,Budget Home & Office Computer,264.95,5.0,4
78,ScreenON - Intel - Extreme Ripper - GamePC.Y52189,9849.0,1.0,1
79,COMPUGEAR Advantage X23 - Ryzen - 480GB SSD - GTX 1650 4GB - Game PC,499.0,4.1,24
80,MSI MEG Trident X 10SE-868MYS - Intel Core i9 (10th gen) - 32 GB - 2000 GB SSD  - NVIDIA GeForce RTX 2080 SUPER - Game PC,3499.0,5.0,1
81,Intel NUC Compleet | Celeron J4005 - Dual Core | 4 GB DDR4 | 120 GB SSD | 2x HDMI | Windows 10 Pro,225.0,4.5,2
82,AMD PRO GAMING | GTX 1660 6GB SUPER | RYZEN 3600 | 16GB DDR4 | 480GB SSD,849.0,4.0,1
83,Dell PC desktop DVD -120gb SSD -4gb Ram -i5 Processor -Windows 10 | OptiPlex 7020 SFF Renewed,239.0,4.7,3
