,Product_Name,Price,Review,Number_Of_Reviews,Category
66, Asus Chromebook C434TA-AI0064 - Azerty,"                    679,00",5 , 1 ,Laptops
67, Lenovo IdeaPad 3 14ADA05 81W0007MMB Azerty,"369,00",4.5 , 6 ,Laptops
68, HP 14s-dq1179nb Azerty,"649,00",4 , 1 ,Laptops
69, Acer Aspire 3 A314-22-R689 Azerty,"499,00",4.5 ,12 ,Laptops
70," Apple MacBook Pro 16"" Touch Bar (2019) MVVK2FN/A Space Gray","2.899,00",5 , 9 ,Laptops
71, Acer Aspire 3 A317-51-32LZ Azerty,"649,00",4.5 , 7 ,Laptops
72, Apple Macbook Air (2020) MWTL2FN/A Goud AZERTY,"1.069,00",4.5 ,89 ,Laptops
73, Acer Nitro 5 AN517-52-7981 Azerty,"1.279,00",5 , 7 ,Laptops
74, Asus Vivobook 15 P1504JA-EJ574T-BE Azerty,"799,00",4.5 , 6 ,Laptops
75, Lenovo IdeaPad L340-17IRH Gaming 81LL00CCMB Azerty,"929,00",4.5 ,42 ,Laptops
76, HP 14s-fq0006nb Azerty,"499,00",4.5 ,19 ,Laptops
77, Lenovo IdeaPad 3 15ADA05 81W100ACMB Azerty,"539,00",4 , 5 ,Laptops
78, Lenovo IdeaPad L340-15IRH Gaming 81LK01GWMB Azerty,"1.099,00",4.5 ,59 ,Laptops
79, Lenovo IdeaPad Flex 5 15IIL05 81X3004SMB Azerty,"999,00",4.5 , 7 ,Laptops
80," Apple MacBook Pro 13"" (2020) MXK62FN/A Silver AZERTY","1.389,00",5 ,19 ,Laptops
81, Lenovo Chromebook IdeaPad 3 11IGL05 82BA000QMB Azerty,"                    249,00",0 , 0 ,Laptops
82, HP 15s-fq1059nb Azerty,"869,00",4.5 , 9 ,Laptops
83, Lenovo Gaming 3 15IMH05 81Y400GEMB Azerty,"1.129,00",4.5 , 3 ,Laptops
84, HP 17-by3052nb Azerty,"799,00",4 , 8 ,Laptops
85, HP OMEN 15-en0009nb Azerty,"1.649,00",0 , 0 ,Laptops
86, Acer Swift 3 SF314-58G-796X Azerty,"869,00",4.5 ,37 ,Laptops
87, Lenovo IdeaPad 3 17ADA05 81W20035MB Azerty,"679,00",4 , 1 ,Laptops
88, Acer Aspire 3 A317-52-79HM Azerty,"839,00",4.5 , 7 ,Laptops
89, Apple Macbook Air (2020) MVH42FN/A Zilver AZERTY,"1.339,00",4.5 ,89 ,Laptops
90, Acer Chromebook 315 CB315-3HT-C3RY Azerty,"409,00",5 , 2 ,Laptops
91, Lenovo IdeaPad 3 17ADA05 81W20033MB Azerty,"499,00",4 , 1 ,Laptops
92, HP Pavilion G 15-dk1032nb Azerty,"849,00",4.5 ,22 ,Laptops
93, Acer Aspire 3 A317-51-33BR Azerty,"499,00",4.5 , 7 ,Laptops
94, Lenovo IdeaPad 3 14IIL05 81WD00BGMB Azerty,"669,00",4 , 1 ,Laptops
95, Lenovo ThinkPad E15 20RD004JMB Azerty,"1.049,00",5 , 4 ,Laptops
